userid	genesymbol	genename	entrezgene
NDFIP1	NDFIP1	Nedd4 family interacting protein 1	80762
CALR	CALR	calreticulin	811
NPRL3	NPRL3	NPR3 like, GATOR1 complex subunit	8131
SLC7A5	SLC7A5	solute carrier family 7 member 5	8140
SYNC	SYNC	syncoilin, intermediate filament protein	81493
CSRNP2	CSRNP2	cysteine and serine rich nuclear protein 2	81566
ANKRD13C	ANKRD13C	ankyrin repeat domain 13C	81573
SNX27	SNX27	sorting nexin family member 27	81609
TSC22D4	TSC22D4	TSC22 domain family member 4	81628
SLC25A28	SLC25A28	solute carrier family 25 member 28	81894
GDF5	GDF5	growth differentiation factor 5	8200
CANX	CANX	calnexin	821
AKAP17A	AKAP17A	A-kinase anchoring protein 17A	8227
UBL4A	UBL4A	ubiquitin like 4A	8266
SLC10A3	SLC10A3	solute carrier family 10 member 3	8273
CAPS	CAPS	calcyphosine	828
SNN	SNN	stannin	8303
AXIN1	AXIN1	axin 1	8312
BRAP	BRAP	BRCA1 associated protein	8315
ADPGK	ADPGK	ADP dependent glucokinase	83440
INO80B	INO80B	INO80 complex subunit B	83444
ZMIZ2	ZMIZ2	zinc finger MIZ-type containing 2	83637
FRMD8	FRMD8	FERM domain containing 8	83786
KCNK16	KCNK16	potassium two pore domain channel subfamily K member 16	83795
NME5	NME5	NME/NM23 family member 5	8382
KLF16	KLF16	Kruppel like factor 16	83855
SLC41A2	SLC41A2	solute carrier family 41 member 2	84102
ZNRF3	ZNRF3	zinc and ring finger 3	84133
KAT8	KAT8	lysine acetyltransferase 8	84148
TMEM164	TMEM164	transmembrane protein 164	84187
LRRC8C	LRRC8C	leucine rich repeat containing 8 family member C	84230
LTBP4	LTBP4	latent transforming growth factor beta binding protein 4	8425
WDR83	WDR83	WD repeat domain 83	84292
DOT1L	DOT1L	DOT1 like histone lysine methyltransferase	84444
LZTS2	LZTS2	leucine zipper tumor suppressor 2	84445
CUL2	CUL2	cullin 2	8453
KLF11	KLF11	Kruppel like factor 11	8462
GLIS2	GLIS2	GLIS family zinc finger 2	84662
SLC9A7	SLC9A7	solute carrier family 9 member A7	84679
CAPS2	CAPS2	calcyphosine 2	84698
FAM167B	FAM167B	family with sequence similarity 167 member B	84734
ORAI1	ORAI1	ORAI calcium release-activated calcium modulator 1	84876
MFSD2A	MFSD2A	major facilitator superfamily domain containing 2A	84879
ZNF341	ZNF341	zinc finger protein 341	84905
UTP4	UTP4	UTP4, small subunit processome component	84916
DIRC2	DIRC2	disrupted in renal carcinoma 2	84925
CGNL1	CGNL1	cingulin like 1	84952
CCDC183	CCDC183	coiled-coil domain containing 183	84960
REPS1	REPS1	RALBP1 associated Eps domain containing 1	85021
CBX4	CBX4	chromobox 4	8535
RHPN2	RHPN2	rhophilin Rho GTPase binding protein 2	85415
CDK10	CDK10	cyclin dependent kinase 10	8558
DENR	DENR	density regulated re-initiation and release factor	8562
YARS	YARS	tyrosyl-tRNA synthetase	8565
MKNK1	MKNK1	MAP kinase interacting serine/threonine kinase 1	8569
PLPP1	PLPP1	phospholipid phosphatase 1	8611
STX10	STX10	syntaxin 10	8677
MPDZ	MPDZ	multiple PDZ domain crumbs cell polarity complex component	8777
SUCLA2	SUCLA2	succinate-CoA ligase ADP-forming beta subunit	8803
TMEM11	TMEM11	transmembrane protein 11	8834
AP3D1	AP3D1	adaptor related protein complex 3 delta 1 subunit	8943
WASL	WASL	Wiskott-Aldrich syndrome like	8976
TMEM116	TMEM116	transmembrane protein 116	89894
SAPCD2	SAPCD2	suppressor APC domain containing 2	89958
TAF1B	TAF1B	TATA-box binding protein associated factor, RNA polymerase I subunit B	9014
HIP1R	HIP1R	huntingtin interacting protein 1 related	9026
BAZ1B	BAZ1B	bromodomain adjacent to zinc finger domain 1B	9031
MED30	MED30	mediator complex subunit 30	90390
SPAG9	SPAG9	sperm associated antigen 9	9043
GADD45GIP1	GADD45GIP1	GADD45G interacting protein 1	90480
TMEM263	TMEM263	transmembrane protein 263	90488
YIF1B	YIF1B	Yip1 interacting factor homolog B, membrane trafficking protein	90522
MAP7	MAP7	microtubule associated protein 7	9053
CCT6A	CCT6A	chaperonin containing TCP1 subunit 6A	908
DNAJA3	DNAJA3	DnaJ heat shock protein family (Hsp40) member A3	9093
AP5B1	AP5B1	adaptor related protein complex 5 beta 1 subunit	91056
UAP1L1	UAP1L1	UDP-N-acetylglucosamine pyrophosphorylase 1 like 1	91373
SYNGR1	SYNGR1	synaptogyrin 1	9145
RPS19BP1	RPS19BP1	ribosomal protein S19 binding protein 1	91582
PCSK7	PCSK7	proprotein convertase subtilisin/kexin type 7	9159
ATPAF2	ATPAF2	ATP synthase mitochondrial F1 complex assembly factor 2	91647
FDXACB1	FDXACB1	ferredoxin-fold anticodon binding domain containing 1	91893
COPS2	COPS2	COP9 signalosome subunit 2	9318
PGAP3	PGAP3	post-GPI attachment to proteins 3	93210
TRIP4	TRIP4	thyroid hormone receptor interactor 4	9325
ZFAND4	ZFAND4	zinc finger AN1-type containing 4	93550
LONP1	LONP1	lon peptidase 1, mitochondrial	9361
SLC9A3R1	SLC9A3R1	SLC9A3 regulator 1	9368
KCNK6	KCNK6	potassium two pore domain channel subfamily K member 6	9424
CD34	CD34	CD34 molecule	947
LITAF	LITAF	lipopolysaccharide induced TNF factor	9516
ENTPD3	ENTPD3	ectonucleoside triphosphate diphosphohydrolase 3	956
SPAG6	SPAG6	sperm associated antigen 6	9576
ZNF592	ZNF592	zinc finger protein 592	9640
PPIP5K1	PPIP5K1	diphosphoinositol pentakisphosphate kinase 1	9677
N4BP1	N4BP1	NEDD4 binding protein 1	9683
EDEM1	EDEM1	ER degradation enhancing alpha-mannosidase like protein 1	9695
HERPUD1	HERPUD1	homocysteine inducible ER protein with ubiquitin like domain 1	9709
MLEC	MLEC	malectin	9761
KIAA0513	KIAA0513	KIAA0513	9764
PHYHIP	PHYHIP	phytanoyl-CoA 2-hydroxylase interacting protein	9796
CDK1	CDK1	cyclin dependent kinase 1	983
C2CD2L	C2CD2L	C2CD2 like	9854
TBC1D4	TBC1D4	TBC1 domain family member 4	9882
SRGAP3	SRGAP3	SLIT-ROBO Rho GTPase activating protein 3	9901
IQSEC1	IQSEC1	IQ motif and Sec7 domain 1	9922
